,trackName,artistName,id
0,1539 N. Calvert,JPEGMAFIA,6XyxCBp6x3jvtxXvMN5sAA
0,Black Moses (feat. JPEGMAFIA),Channel Tres,47HWyJVPEmyGLOVgMwrozC
0,Meditate (feat. J.I.D.),EARTHGANG,0Eqm7hD828cATBLUx2fJox
0,I BEEN BORN AGAIN,BROCKHAMPTON,7frG49GBDHPPvxXRVLRwle
0,Bartender (feat. Akon),T-Pain,5kxddRG1RZaZROadk7iC4D
0,hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku
0,Aloha,10k.Caash,0wc23hbQfO6pHyc600wFJq
0,Sandstorm (feat. JID),Mereba,1NlWBpNYAnFT7gMGyC0Y1M
0,This Life,Vampire Weekend,4dRqYKhLVujxiBXcq50YzG
0,QUEER,BROCKHAMPTON,4sEnZad9gvLSLkyt8DW11O
0,Jailbreak the Tesla (Feat. Aminé),Injury Reserve,7w0YG5qn9w8LYA4tHpQe0o
0,Never Catch Me,Flying Lotus,6CTG85NJI1Wm60pxTSRNwL
0,3 Nights,Dominic Fike,1tNJrcVe6gwLEiZCtprs1u
0,Love Hurts (feat. Travis Scott),Playboi Carti,3K6U7TamNyVSWcFH8pCQHX
0,Begin (feat. Wales),Shallou,1v5J1L8FbUQya4SUQFCstk
0,RUNNING OUT OF TIME,"Tyler, The Creator",5QvBXUm5MglLJ3iBfTX2Wo
0,While We're Young,Jhené Aiko,4mL59LVbKgOpEACxraGYdr
0,Cheers (feat. Q-Tip),Anderson .Paak,4qNijbGeHqlcFWrGrATFOX
0,Where You From,Big Smo,5ucGdfQWcyaiWfQPZKQnWD
0,a lot,21 Savage,2t8yVaLvJ0RenpXUIAC52d
0,Angles (feat. Noname & Xavier Omär),Mick Jenkins,3SEZgDncfa1sqjThdI9JcJ
0,Hungry Hippo,Tierra Whack,0WpDeBJ22LcwF4QoERQOTv
0,Love Yourz,J. Cole,4gkl7QbQvBd3TM9PhlWFkI
0,Beautiful Creatures (feat. MAX),ILLENIUM,4pWawf1Rq4qHDv4Ktqjg2D
0,changes,XXXTENTACION,7AFASza1mXqntmGtbxXprO
0,Where This Flower Blooms (feat. Frank Ocean),"Tyler, The Creator",6KuXb26rHuRy3ZDse1VRmx
0,Infinite Stripes (feat. Ty Dolla $ign),Cashmere Cat,2pGvtzrsbR46mqqD7j13FO
0,Purity,A$AP Rocky,2MF4HtZHBoUliOi9nOAbS0
0,SUGAR,BROCKHAMPTON,6U0FIYXCQ3TGrk4tFpLrEA
0,ZUU,Denzel Curry,5sG65w8uKtjsJw7nc845Nc
0,Foreword (feat. Rex Orange County),"Tyler, The Creator",33i3xxHB4YSYGYbtJrwwO8
0,Freesol,Seven Lions,5GmhrrcziQz36B3R4AyJYE
0,Vignette: Panacea,Disasterpeace,4J8rl3iuh7Dw9F0JI3OJKt
0,Cinderella (feat. Ty Dolla $ign),Mac Miller,2lpygKqzPFtItQ4ss3cgfb
0,Tyrant (feat. Jorja Smith),Kali Uchis,4FZOSDwALdWxcGcRbwXWJ8
0,Lie,NF,07FkzikE6FuHIa8Ma7zJGc
0,Come Home To Me,LÉON,2K8elWg8ihrZRwZJ7Gy6L3
0,Let Me Down Slowly,Alec Benjamin,2qxmye6gAegTMjLKEBoR3d
0,it's not u it's me,Bea Miller,7cLm450e9XaPrEZTSTsfwU
0,Twist My Fingaz,YG,5A63MgoNPniM7necFglMhe
0,no tears left to cry,Ariana Grande,2qT1uLXPVPzGgFOx4jtEuo
0,The Story Never Ends,Lauv,3u5bTqHMM1P34ZkbwzdckV
0,Impossible,James Arthur,5yVIlYEHZxQVLyInCdldoS
0,BOY BYE,BROCKHAMPTON,6e7hIhOLH9zvb3zP5O5gt0
0,Off Da Zoinkys,JID,0l7uQ6vQcYxjqbjRbDH2HW
0,all the kids are depressed,Jeremy Zucker,75ls0gurX68lUmMjE7QcsE
0,Pale Blue Dot,Big Wild,3XmNMIucTYuXOEpAjcaeVi
0,Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,Dreamville,2gtFMLjQpCTGekMi4oXZxN
0,What's the Move (feat. Lil Uzi Vert),Young Thug,3pTScODwk9tggZzmuH6xDY
0,Radar (feat. HONNE),Whethan,1WfMi7xvOti8F4dSf7atd9
0,Why You Always Hatin?,YG,39hnH8WdPmNT3Q3yzwC9Rg
0,CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,2LNMhZ3YijTO7USmqjgJfG
0,4r Da Squaw,Isaiah Rashad,71lyUtIPCMAYjTwwwxy2jW
0,SPEEDBOAT,Denzel Curry,2FTOLKjQUswhpdMFq15Raf
0,Knotty Head,Denzel Curry,3DaXXVRXK7sWRNEugMe7s6
0,First Time (feat. Dylan Matthew),Seven Lions,27YD36FUikKxbp3bKSiKGZ
0,Shabba (feat. A$AP Rocky),A$AP Ferg,7eaKWfov7b2Qa2n6HTesL3
0,Dead To Me,Kali Uchis,6LOZws7T3jqZz78unPgFF9
0,ATM,J. Cole,2UciqgwVDwro0fev3MFbxJ
0,Cake By The Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC
0,Bean (Kobe) [feat. Chief Keef],Lil Uzi Vert,0IpnZchq8ek2A6pGEP2Qb1
0,White Ferrari,Frank Ocean,2LMkwUfqC6S6s6qDVlEuzV
0,Glow Like Dat,Rich Brian,7MXcmkmyxEYAJf04cbqKoI
0,Confidently Lost,Sabrina Claudio,3cQmqM0awej9iAESjhKrI9
0,WISH FEAT. KIDDO MARV,Denzel Curry,0shSP8DgseLewHgAiMC4UL
0,Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg
0,Rotation 112th,Jay Rock,18Zq1ovdgC9gdQluiOvuaD
0,All Your Days,Shallou,2QEBXYzURjg7nY8FjbBcUt
0,96 Quite Bitter Beings,CKY,7AimHQrOUoUTYbVX87D3Zl
