trackName,artistName,msPlayed
9 (After Coachella) (feat. MØ & SOPHIE),Cashmere Cat,937749
I'm N Luv (Wit a Stripper) (feat. Mike Jones),T-Pain,934913
And You? (Outro),DEAN,933009
Sigh,Shallou,924322
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville,922614
Midsummer Madness,88rising,920118
1998 TRUMAN,BROCKHAMPTON,919687
L$D,A$AP Rocky,918795
"Costa Rica (feat. Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,916869
SUPERPOSITION,Daniel Caesar,916145
Pretty Girl,Felly,913146
THE BLACKEST BALLOON | THE 13LACKEZT 13ALLOON,Denzel Curry,912615
KOD,J. Cole,911377
Freak Like Me,NoMBe,910823
X (with 2 Chainz & Saudi),ScHoolboy Q,909843
Confetti,Rich Brian,908641
Zulu Screams (feat. Maleek Berry & Bibi Bourelly),GoldLink,907643
SISTER/NATION,BROCKHAMPTON,905610
Shot For Me,Drake,895267
sweet sweet,Travis Scott,894661
Bad Idea (feat. Chance the Rapper),YBN Cordae,890766
Jesus Is The One (I Got Depression),Zack Fox,887996
Headlines,Drake,886537
Insane,Flume,885141
Girl Like You,Toro y Moi,884244
Baptized In Fire,Kid Cudi,876547
XXX. FEAT. U2.,Kendrick Lamar,875376
Huncho Jack,Huncho Jack,874597
Electric Body,A$AP Rocky,871504
Crisis (feat. 21 Savage),Rich Brian,869391
Realer,Megan Thee Stallion,864400
Island (feat. Nevve),Seven Lions,864283
REDLIGHT,NGHTMRE,864139
FlatBed Freestyle,Playboi Carti,861633
Let It Go,A$AP Ferg,861026
Eye 2 Eye,Huncho Jack,859407
Friends,Flume,858691
Nobody Compares To You (feat. Katie Pearlman),Gryffin,857215
Sweet Chick (feat. BJ The Chicago Kid),Anderson .Paak,857091
Show Me,Mac Ayres,854981
I Just Killed A Cop Now I'm Horny,JPEGMAFIA,850550
Body & Blood,clipping.,850228
Change Ya Mind,Mac Ayres,847643
Come Through and Chill,Miguel,844932
Seigfried,Frank Ocean,844748
Bad and Boujee (feat. Lil Uzi Vert),Migos,844600
WAKE UP,Travis Scott,841991
Saviers Road,Anderson .Paak,841129
beibs in the trap,Travis Scott,840393
Nikes,Frank Ocean,838874
Tribe (with J. Cole),Bas,838726
Bulls on Parade (triple j Like A Version),Denzel Curry,837411
LOGOUT,Saba,836035
Stay Right Here,Saba,836019
Dark Knight Dummo (Feat. Travis Scott),Trippie Redd,834120
BOMPTOWN FINEST,YG,833294
Foot Fungus,Ski Mask The Slump God,828544
GUD VIBRATIONS,NGHTMRE,827718
iffy (Prod. GroovyRoom),Sik-K,825705
WHAT'S GOOD,"Tyler, The Creator",824138
Crew Love,Drake,823856
Pray 4 Love (feat. The Weeknd),Travis Scott,821967
Simple Solutions,TED Radio Hour,817640
MIDDLE CHILD,J. Cole,814922
pick up the phone,Young Thug,813408
Quits,Flume,810665
Frat Rules,A$AP Mob,809491
The Middle,Zedd,809124
Pet Cemetery,Tierra Whack,808515
Remember (with ZOHARA),Gryffin,808436
This Is America,Childish Gambino,808011
All You Need To Know (feat. Calle Lehmann),Gryffin,807644
m.A.A.d city,Kendrick Lamar,806369
Lucid Dreams,Juice WRLD,805587
D.M.S.R.,Prince,804225
Silent Skies,Seven Lions,804203
Fashion Killa,A$AP Rocky,800248
Congratulations (feat. Bilal),Mac Miller,799336
When Doves Cry,Prince,798817
Nights Like This (feat. Ty Dolla $ign),Kehlani,797846
YOSEMITE,Travis Scott,797564
Despacito Too,JID,794280
More (feat. Lola Rae),GoldLink,793657
Dubai Shit,Huncho Jack,793252
Telephone Calls,A$AP Mob,790544
Come Home (feat. André 3000),Anderson .Paak,790479
Introvert (feat. Joji),Rich Brian,788360
Butterfly,UMI,787503
Smile,Isaiah Rashad,784659
Chippi Chippi,Sheck Wes,783040
Come Back to Earth,Mac Miller,782472
SWAMP,BROCKHAMPTON,782093
Cheese & Wine,DPR LIVE,781793
Dark & Handsome,Blood Orange,780976
Flying High (feat. Toro y Moi),Travis Scott,778920
GTFU (Feat. JPEGMAFIA & Cakes da Killa),Injury Reserve,777852
BBO (Bad Bitches Only),Migos,776666
Helter Skelter - First Version / Take 2,The Beatles,773520
God is a woman,Ariana Grande,772545
Invisible Klip,Kid Trunks,771624
Hard in Da Paint,Waka Flocka Flame,769550
instagram,DEAN,767184
Girl Front,LOOΠΔ / ODD EYE CIRCLE,764914
Take Care,Drake,763235
Daze 22.00,Flume,761678
Collard Greens,ScHoolboy Q,761533
Cash Shit (feat. DaBaby),Megan Thee Stallion,761151
Long Live A$AP,A$AP Rocky,758449
WAM,A$AP Ferg,756427
Have Mercy,YBN Cordae,756181
Heatwave (feat. 6LACK),Mereba,754744
All This Money,Injury Reserve,752561
Benzo,Blood Orange,752555
Straightjacket - Shallou Remix,Quinn XCII,752552
Just A Stranger (feat. Steve Lacy),Kali Uchis,751614
Coffee (F***ing),Miguel,751258
Garden (Say It Like Dat),SZA,746135
71m3,Flume,742668
Magnolia,Playboi Carti,741215
Puff Daddy,JPEGMAFIA,738323
EMOTIONS,Cashmere Cat,735308
Stand Still,Sabrina Claudio,731341
Fried Rice (with JID),Bas,730899
Home,Madeon,730199
SHAKE 88 FEAT. SAM SNEAK,Denzel Curry,729889
Live Sheck Wes,Sheck Wes,729338
RNP (feat. Anderson .Paak),YBN Cordae,729079
I Like U,NIKI,727629
1999 (feat. Lloyd),Big K.R.I.T.,727568
Miami (feat. BIA),Kali Uchis,726590
lift me from the ground,San Holo,725538
GINGER,BROCKHAMPTON,724845
"GONE, GONE / THANK YOU","Tyler, The Creator",724700
Across The Room (feat. Leon Bridges),ODESZA,724437
L.M.F.,Smino,724215
All My Love (feat. Conor Maynard),Cash Cash,723433
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,722953
Take Me Home (feat. Bebe Rexha),Cash Cash,722846
"Ladies, Ladies, Ladies (with JID feat. T.I.)",Dreamville,722686
Tia Tamera (feat. Rico Nasty),Doja Cat,722546
P.A.T. FEAT. PLAYTHATBOIZAY,Denzel Curry,719857
Lie,Riah,717194
UCLA,RL Grime,716186
CALLIGRAPHY,Saba,714714
20 Something,SZA,712391
you should see me in a crown,Billie Eilish,711551
Saint,Huncho Jack,710120
Habit,Still Woozy,708584
Caught in the Middle,Paramore,708470
Reims,RL Grime,706059
Better Dayz,REASON,704679
V,Jay Park,704330
CAROUSEL,Travis Scott,704218
D (Half Moon),DEAN,697841
Lucy,Still Woozy,695497
Fruit Salad,Tierra Whack,692827
CASH MANIAC | CAZH MAN1AC [FEAT. NYYJERYA],Denzel Curry,692086
Light Me Up,RL Grime,690814
Tresspass,Rich Brian,688923
Perry Aye,A$AP Mob,688891
Right There,Ariana Grande,688475
Sleep Deprived (with Lute & Omen feat. Mez & DaVionne),Dreamville,685087
Biking,Frank Ocean,685048
26,Paramore,683733
"Anywhere (feat. Snoop Dogg & The Last Artful, Dodgr)",Anderson .Paak,683681
Psycho (feat. Ty Dolla $ign),Post Malone,681938
Catch Me Outside,Ski Mask The Slump God,680222
crystal (feat. SOB x RBE),P-Lo,679959
Time,Free Nationals,679472
Misery Business,Paramore,679080
TOO DEEP TO TURN BACK,Daniel Caesar,678060
Better,Mac Ayres,673243
Find,Shallou,671725
Brother's Keeper (feat. Pusha T),Anderson .Paak,670796
Panic Emoji,JPEGMAFIA,668701
Violent Crimes,Kanye West,668612
666 (feat. YoungBoy Never Broke Again),YG,668134
ARE WE STILL FRIENDS?,"Tyler, The Creator",667606
Zephyr,Madeon,667321
I Want You To Know,Zedd,666750
That's What You Get,Paramore,666269
Man Of The Year,ScHoolboy Q,664311
What's the Use?,Mac Miller,663428
Walk (Remix),Comethazine,661754
Tints (feat. Kendrick Lamar),Anderson .Paak,659972
Tell Them (feat. Moses Sumney & Metro Boomin),James Blake,659752
Eyelids,Zac Flewids,659700
J'OUVERT,BROCKHAMPTON,659560
November,"Tyler, The Creator",658506
GPS,Saba,658135
RICKY,Denzel Curry,657253
Stir Fry,Migos,655891
North Pole,Injury Reserve,655688
Summer's Gone,NoMBe,655122
I Love It,DEAN,654315
Charcoal Baby,Blood Orange,653864
Saint Laurent Mask,Huncho Jack,653586
Mirror Maru,Cashmere Cat,651200
Mansa Musa (feat. Dr. Dre & Cocoa Sarai),Anderson .Paak,650136
Artificial,EARTHGANG,648560
gold (Feat. Dean),offonoff,647554
Wings,Mac Miller,647212
gun smoke,21 Savage,646650
INFATUATION,BROCKHAMPTON,645993
PUPPET,"Tyler, The Creator",645316
coordinate,Travis Scott,644882
Tap Out (feat. Jeremih),Jay Rock,644566
Big Tymin,Nef The Pharaoh,644268
Isis,Joyner Lucas,643296
Daddy Aioli Interlude,Yung Gravy,643036
Smack A Bitch,Rico Nasty,642994
What 2 Do,DEAN,642353
I Can Tell,Travis Scott,642084
Location,Playboi Carti,641514
Numb & Getting Colder (feat. Kučka),Flume,640375
Hood Gone Love It (feat. Kendrick Lamar),Jay Rock,639843
Kung Fu,YBN Cordae,637149
Zenith,Denzel Curry,636941
Normal Girl,SZA,632280
Apple Pie,Travis Scott,629510
Kusanagi,ODESZA,624000
Victoria's Veil,Cashmere Cat,621937
DISTRICT,BROCKHAMPTON,620234
LUST.,Kendrick Lamar,619634
Sunset (with J. Cole feat. Young Nudy),Dreamville,619007
Holdin On,Flume,617656
Crime Pays,Freddie Gibbs,617406
Pull Up,Playboi Carti,616595
Goodie Bag,Still Woozy,615678
Hardwired,TED Radio Hour,614808
When I Get There,Big Wild,612777
Right Now (feat. Pi'erre Bourne),Playboi Carti,611130
Oldie,Odd Future,610793
Story: No Title,Denzel Curry,609686
TONYA,BROCKHAMPTON,608759
Shrine,RL Grime,607953
Levitate,Flume,607716
Take A Step Back,Ski Mask The Slump God,607354
Alkaline,Kota the Friend,607344
Marvins Room,Drake,607073
All My Love,Sabrina Claudio,606043
