trackName,artistName,explicit,popularity,id
"It Ain't Easy, It Ain't Easy (feat. Nyck Caution, Kirk Knight, CJ Fly & AKTHESAVIOR)",Beast Coast,1,54,4krhkcFf3OqxHSS1QUIsmc
"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,1,61,0VXfZi7XhfJnuBvF6XiypU
R.I.P. SCREW,Travis Scott,1,70,4SZepBIPDRwPaHIjAKwRDb
Rainbow Six,JPEGMAFIA,1,44,4OHWib4PEw8XCfrAaDpVNo
Off Deez (with J. Cole),JID,1,68,3JAeYOjyJodI4PRs44lx2l
Provider,Frank Ocean,0,66,6R6ihJhRbgu7JxJKIbW57w
10 Gallons,Zac Flewids,1,32,5q0bIE0KByf8FFA7S4L9WT
1539 N. Calvert,JPEGMAFIA,1,63,6XyxCBp6x3jvtxXvMN5sAA
Black Moses (feat. JPEGMAFIA),Channel Tres,1,52,47HWyJVPEmyGLOVgMwrozC
Meditate (feat. J.I.D.),EARTHGANG,1,65,0Eqm7hD828cATBLUx2fJox
I BEEN BORN AGAIN,BROCKHAMPTON,1,60,7frG49GBDHPPvxXRVLRwle
Bartender (feat. Akon),T-Pain,1,68,5kxddRG1RZaZROadk7iC4D
Girl,The Internet,1,65,3PFaFVWq5wucLu6s4baj9D
ALOHA,Charlie Heat,1,51,2llgOorPtGZStprLURFVvx
Sandstorm (feat. JID),Mereba,1,59,1NlWBpNYAnFT7gMGyC0Y1M
This Life,Denzel Curry,1,59,2aQwdBWk4vSPWk1Csgtzdo
QUEER,BROCKHAMPTON,1,59,4sEnZad9gvLSLkyt8DW11O
Jailbreak the Tesla (Feat. Aminé),Injury Reserve,1,56,7w0YG5qn9w8LYA4tHpQe0o
Never Catch Me,Travis Scott,1,56,3jg8bevUzKYONDLBBQquif
Nights,Frank Ocean,1,77,7eqoqGkKwgOaWNNHx90uEZ
Love Hurts (feat. Travis Scott),Playboi Carti,1,68,3K6U7TamNyVSWcFH8pCQHX
Begin (feat. Wales),Shallou,0,60,1v5J1L8FbUQya4SUQFCstk
RUNNING OUT OF TIME,"Tyler, The Creator",1,70,5QvBXUm5MglLJ3iBfTX2Wo
While We're Young,Jhené Aiko,1,71,4mL59LVbKgOpEACxraGYdr
Cheers (feat. Q-Tip),Anderson .Paak,1,55,4qNijbGeHqlcFWrGrATFOX
Where U From,Huncho Jack,1,57,11cCVYamncF0ezwjj1irQ0
a lot,21 Savage,1,80,2t8yVaLvJ0RenpXUIAC52d
Angles (feat. Noname & Xavier Omär),Mick Jenkins,1,51,3SEZgDncfa1sqjThdI9JcJ
Hungry Hippo,Tierra Whack,1,67,0WpDeBJ22LcwF4QoERQOTv
Love Yourz,J. Cole,1,69,4gkl7QbQvBd3TM9PhlWFkI
Beautiful Creatures (feat. MAX),ILLENIUM,0,63,4pWawf1Rq4qHDv4Ktqjg2D
Change,J. Cole,1,64,3pjUyVbFmM96tYhSaKJwTt
Where This Flower Blooms (feat. Frank Ocean),"Tyler, The Creator",1,68,6KuXb26rHuRy3ZDse1VRmx
Infinite Stripes (feat. Ty Dolla $ign),Cashmere Cat,1,38,2pGvtzrsbR46mqqD7j13FO
Purity,A$AP Rocky,1,66,2MF4HtZHBoUliOi9nOAbS0
SUGAR,BROCKHAMPTON,1,88,6U0FIYXCQ3TGrk4tFpLrEA
ZUU,Denzel Curry,1,59,5sG65w8uKtjsJw7nc845Nc
Foreword (feat. Rex Orange County),"Tyler, The Creator",1,63,33i3xxHB4YSYGYbtJrwwO8
